,mpg,cylinders,displacement,horsepower,weight,acceleration,modelyear,origin
0,18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0
1,15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0
2,18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0
3,16.0,8.0,304.0,150.0,3433.0,12.0,70.0,1.0
4,17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0
5,15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0
6,14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0
7,14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0
8,14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0
9,15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0
15,15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0
16,14.0,8.0,340.0,160.0,3609.0,8.0,70.0,1.0
18,15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0
19,14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0
20,24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0
21,22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0
22,18.0,6.0,199.0,97.0,2774.0,15.5,70.0,1.0
23,21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0
24,27.0,4.0,97.0,88.0,2130.0,14.5,70.0,3.0
25,26.0,4.0,97.0,46.0,1835.0,20.5,70.0,2.0
26,25.0,4.0,110.0,87.0,2672.0,17.5,70.0,2.0
27,24.0,4.0,107.0,90.0,2430.0,14.5,70.0,2.0
28,25.0,4.0,104.0,95.0,2375.0,17.5,70.0,2.0
29,26.0,4.0,121.0,113.0,2234.0,12.5,70.0,2.0
30,21.0,6.0,199.0,90.0,2648.0,15.0,70.0,1.0
31,10.0,8.0,360.0,215.0,4615.0,14.0,70.0,1.0
32,10.0,8.0,307.0,200.0,4376.0,15.0,70.0,1.0
33,11.0,8.0,318.0,210.0,4382.0,13.5,70.0,1.0
34,9.0,8.0,304.0,193.0,4732.0,18.5,70.0,1.0
35,27.0,4.0,97.0,88.0,2130.0,14.5,71.0,3.0
36,28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0
37,25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0
40,19.0,6.0,232.0,100.0,2634.0,13.0,71.0,1.0
41,16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0
42,17.0,6.0,250.0,100.0,3329.0,15.5,71.0,1.0
43,19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0
44,18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0
45,14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0
46,14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0
47,14.0,8.0,351.0,153.0,4154.0,13.5,71.0,1.0
48,14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0
49,12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0
50,13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0
51,13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0
52,18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0
53,22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0
54,19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0
55,18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0
56,23.0,4.0,122.0,86.0,2220.0,14.0,71.0,1.0
57,28.0,4.0,116.0,90.0,2123.0,14.0,71.0,2.0
58,30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0
59,30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0
60,31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0
61,35.0,4.0,72.0,69.0,1613.0,18.0,71.0,3.0
62,27.0,4.0,97.0,60.0,1834.0,19.0,71.0,2.0
63,26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0
64,24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0
65,25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0
66,23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0
67,20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0
68,21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0
69,13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0
70,14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0
71,15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0
72,14.0,8.0,351.0,153.0,4129.0,13.0,72.0,1.0
73,17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0
74,11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0
75,13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0
76,12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0
77,13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0
78,19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0
79,15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0
80,13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0
81,13.0,8.0,302.0,140.0,4294.0,16.0,72.0,1.0
82,14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0
83,18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0
84,22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0
85,21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0
86,26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0
87,22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0
88,28.0,4.0,97.0,92.0,2288.0,17.0,72.0,3.0
89,23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0
90,28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0
91,27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0
92,13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0
93,14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0
94,13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0
95,14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0
96,15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0
97,12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0
98,13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0
99,13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0
100,14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0
101,13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0
102,12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0
103,13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0
104,18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0
105,16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0
106,18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0
107,18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0
108,23.0,6.0,198.0,95.0,2904.0,16.0,73.0,1.0
109,26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0
110,11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0
111,12.0,8.0,400.0,167.0,4906.0,12.5,73.0,1.0
112,13.0,8.0,360.0,170.0,4654.0,13.0,73.0,1.0
113,12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0
114,18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0
115,20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0
116,21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0
117,22.0,4.0,108.0,94.0,2379.0,16.5,73.0,3.0
118,18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0
119,19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0
120,21.0,6.0,155.0,107.0,2472.0,14.0,73.0,1.0
121,26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0
122,15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0
123,16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0
124,29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0
125,24.0,4.0,116.0,75.0,2158.0,15.5,73.0,2.0
126,20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0
127,19.0,4.0,121.0,112.0,2868.0,15.5,73.0,2.0
128,15.0,8.0,318.0,150.0,3399.0,11.0,73.0,1.0
129,24.0,4.0,121.0,110.0,2660.0,14.0,73.0,2.0
130,20.0,6.0,156.0,122.0,2807.0,13.5,73.0,3.0
131,11.0,8.0,350.0,180.0,3664.0,11.0,73.0,1.0
132,20.0,6.0,198.0,95.0,3102.0,16.5,74.0,1.0
134,19.0,6.0,232.0,100.0,2901.0,16.0,74.0,1.0
135,15.0,6.0,250.0,100.0,3336.0,17.0,74.0,1.0
136,31.0,4.0,79.0,67.0,1950.0,19.0,74.0,3.0
137,26.0,4.0,122.0,80.0,2451.0,16.5,74.0,1.0
138,32.0,4.0,71.0,65.0,1836.0,21.0,74.0,3.0
139,25.0,4.0,140.0,75.0,2542.0,17.0,74.0,1.0
140,16.0,6.0,250.0,100.0,3781.0,17.0,74.0,1.0
141,16.0,6.0,258.0,110.0,3632.0,18.0,74.0,1.0
142,18.0,6.0,225.0,105.0,3613.0,16.5,74.0,1.0
143,16.0,8.0,302.0,140.0,4141.0,14.0,74.0,1.0
144,13.0,8.0,350.0,150.0,4699.0,14.5,74.0,1.0
145,14.0,8.0,318.0,150.0,4457.0,13.5,74.0,1.0
146,14.0,8.0,302.0,140.0,4638.0,16.0,74.0,1.0
147,14.0,8.0,304.0,150.0,4257.0,15.5,74.0,1.0
148,29.0,4.0,98.0,83.0,2219.0,16.5,74.0,2.0
149,26.0,4.0,79.0,67.0,1963.0,15.5,74.0,2.0
150,26.0,4.0,97.0,78.0,2300.0,14.5,74.0,2.0
151,31.0,4.0,76.0,52.0,1649.0,16.5,74.0,3.0
152,32.0,4.0,83.0,61.0,2003.0,19.0,74.0,3.0
153,28.0,4.0,90.0,75.0,2125.0,14.5,74.0,1.0
154,24.0,4.0,90.0,75.0,2108.0,15.5,74.0,2.0
155,26.0,4.0,116.0,75.0,2246.0,14.0,74.0,2.0
156,24.0,4.0,120.0,97.0,2489.0,15.0,74.0,3.0
157,26.0,4.0,108.0,93.0,2391.0,15.5,74.0,3.0
158,31.0,4.0,79.0,67.0,2000.0,16.0,74.0,2.0
159,19.0,6.0,225.0,95.0,3264.0,16.0,75.0,1.0
160,18.0,6.0,250.0,105.0,3459.0,16.0,75.0,1.0
161,15.0,6.0,250.0,72.0,3432.0,21.0,75.0,1.0
162,15.0,6.0,250.0,72.0,3158.0,19.5,75.0,1.0
163,16.0,8.0,400.0,170.0,4668.0,11.5,75.0,1.0
164,15.0,8.0,350.0,145.0,4440.0,14.0,75.0,1.0
165,16.0,8.0,318.0,150.0,4498.0,14.5,75.0,1.0
166,14.0,8.0,351.0,148.0,4657.0,13.5,75.0,1.0
167,17.0,6.0,231.0,110.0,3907.0,21.0,75.0,1.0
168,16.0,6.0,250.0,105.0,3897.0,18.5,75.0,1.0
169,15.0,6.0,258.0,110.0,3730.0,19.0,75.0,1.0
170,18.0,6.0,225.0,95.0,3785.0,19.0,75.0,1.0
171,21.0,6.0,231.0,110.0,3039.0,15.0,75.0,1.0
172,20.0,8.0,262.0,110.0,3221.0,13.5,75.0,1.0
173,13.0,8.0,302.0,129.0,3169.0,12.0,75.0,1.0
174,29.0,4.0,97.0,75.0,2171.0,16.0,75.0,3.0
175,23.0,4.0,140.0,83.0,2639.0,17.0,75.0,1.0
176,20.0,6.0,232.0,100.0,2914.0,16.0,75.0,1.0
177,23.0,4.0,140.0,78.0,2592.0,18.5,75.0,1.0
178,24.0,4.0,134.0,96.0,2702.0,13.5,75.0,3.0
179,25.0,4.0,90.0,71.0,2223.0,16.5,75.0,2.0
180,24.0,4.0,119.0,97.0,2545.0,17.0,75.0,3.0
181,18.0,6.0,171.0,97.0,2984.0,14.5,75.0,1.0
182,29.0,4.0,90.0,70.0,1937.0,14.0,75.0,2.0
183,19.0,6.0,232.0,90.0,3211.0,17.0,75.0,1.0
184,23.0,4.0,115.0,95.0,2694.0,15.0,75.0,2.0
185,23.0,4.0,120.0,88.0,2957.0,17.0,75.0,2.0
186,22.0,4.0,121.0,98.0,2945.0,14.5,75.0,2.0
187,25.0,4.0,121.0,115.0,2671.0,13.5,75.0,2.0
188,33.0,4.0,91.0,53.0,1795.0,17.5,75.0,3.0
189,28.0,4.0,107.0,86.0,2464.0,15.5,76.0,2.0
190,25.0,4.0,116.0,81.0,2220.0,16.9,76.0,2.0
191,25.0,4.0,140.0,92.0,2572.0,14.9,76.0,1.0
192,26.0,4.0,98.0,79.0,2255.0,17.7,76.0,1.0
193,27.0,4.0,101.0,83.0,2202.0,15.3,76.0,2.0
194,17.5,8.0,305.0,140.0,4215.0,13.0,76.0,1.0
195,16.0,8.0,318.0,150.0,4190.0,13.0,76.0,1.0
196,15.5,8.0,304.0,120.0,3962.0,13.9,76.0,1.0
197,14.5,8.0,351.0,152.0,4215.0,12.8,76.0,1.0
198,22.0,6.0,225.0,100.0,3233.0,15.4,76.0,1.0
199,22.0,6.0,250.0,105.0,3353.0,14.5,76.0,1.0
200,24.0,6.0,200.0,81.0,3012.0,17.6,76.0,1.0
201,22.5,6.0,232.0,90.0,3085.0,17.6,76.0,1.0
202,29.0,4.0,85.0,52.0,2035.0,22.2,76.0,1.0
203,24.5,4.0,98.0,60.0,2164.0,22.1,76.0,1.0
204,29.0,4.0,90.0,70.0,1937.0,14.2,76.0,2.0
205,33.0,4.0,91.0,53.0,1795.0,17.4,76.0,3.0
206,20.0,6.0,225.0,100.0,3651.0,17.7,76.0,1.0
207,18.0,6.0,250.0,78.0,3574.0,21.0,76.0,1.0
208,18.5,6.0,250.0,110.0,3645.0,16.2,76.0,1.0
209,17.5,6.0,258.0,95.0,3193.0,17.8,76.0,1.0
210,29.5,4.0,97.0,71.0,1825.0,12.2,76.0,2.0
211,32.0,4.0,85.0,70.0,1990.0,17.0,76.0,3.0
212,28.0,4.0,97.0,75.0,2155.0,16.4,76.0,3.0
213,26.5,4.0,140.0,72.0,2565.0,13.6,76.0,1.0
214,20.0,4.0,130.0,102.0,3150.0,15.7,76.0,2.0
215,13.0,8.0,318.0,150.0,3940.0,13.2,76.0,1.0
216,19.0,4.0,120.0,88.0,3270.0,21.9,76.0,2.0
217,19.0,6.0,156.0,108.0,2930.0,15.5,76.0,3.0
218,16.5,6.0,168.0,120.0,3820.0,16.7,76.0,2.0
219,16.5,8.0,350.0,180.0,4380.0,12.1,76.0,1.0
220,13.0,8.0,350.0,145.0,4055.0,12.0,76.0,1.0
221,13.0,8.0,302.0,130.0,3870.0,15.0,76.0,1.0
222,13.0,8.0,318.0,150.0,3755.0,14.0,76.0,1.0
223,31.5,4.0,98.0,68.0,2045.0,18.5,77.0,3.0
224,30.0,4.0,111.0,80.0,2155.0,14.8,77.0,1.0
225,36.0,4.0,79.0,58.0,1825.0,18.6,77.0,2.0
226,25.5,4.0,122.0,96.0,2300.0,15.5,77.0,1.0
227,33.5,4.0,85.0,70.0,1945.0,16.8,77.0,3.0
228,17.5,8.0,305.0,145.0,3880.0,12.5,77.0,1.0
229,17.0,8.0,260.0,110.0,4060.0,19.0,77.0,1.0
230,15.5,8.0,318.0,145.0,4140.0,13.7,77.0,1.0
231,15.0,8.0,302.0,130.0,4295.0,14.9,77.0,1.0
232,17.5,6.0,250.0,110.0,3520.0,16.4,77.0,1.0
233,20.5,6.0,231.0,105.0,3425.0,16.9,77.0,1.0
234,19.0,6.0,225.0,100.0,3630.0,17.7,77.0,1.0
235,18.5,6.0,250.0,98.0,3525.0,19.0,77.0,1.0
236,16.0,8.0,400.0,180.0,4220.0,11.1,77.0,1.0
237,15.5,8.0,350.0,170.0,4165.0,11.4,77.0,1.0
238,15.5,8.0,400.0,190.0,4325.0,12.2,77.0,1.0
239,16.0,8.0,351.0,149.0,4335.0,14.5,77.0,1.0
240,29.0,4.0,97.0,78.0,1940.0,14.5,77.0,2.0
241,24.5,4.0,151.0,88.0,2740.0,16.0,77.0,1.0
242,26.0,4.0,97.0,75.0,2265.0,18.2,77.0,3.0
243,25.5,4.0,140.0,89.0,2755.0,15.8,77.0,1.0
244,30.5,4.0,98.0,63.0,2051.0,17.0,77.0,1.0
245,33.5,4.0,98.0,83.0,2075.0,15.9,77.0,1.0
246,30.0,4.0,97.0,67.0,1985.0,16.4,77.0,3.0
247,30.5,4.0,97.0,78.0,2190.0,14.1,77.0,2.0
248,22.0,6.0,146.0,97.0,2815.0,14.5,77.0,3.0
249,21.5,4.0,121.0,110.0,2600.0,12.8,77.0,2.0
250,21.5,3.0,80.0,110.0,2720.0,13.5,77.0,3.0
251,43.1,4.0,90.0,48.0,1985.0,21.5,78.0,2.0
252,36.1,4.0,98.0,66.0,1800.0,14.4,78.0,1.0
253,32.8,4.0,78.0,52.0,1985.0,19.4,78.0,3.0
254,39.4,4.0,85.0,70.0,2070.0,18.6,78.0,3.0
255,36.1,4.0,91.0,60.0,1800.0,16.4,78.0,3.0
256,19.9,8.0,260.0,110.0,3365.0,15.5,78.0,1.0
257,19.4,8.0,318.0,140.0,3735.0,13.2,78.0,1.0
258,20.2,8.0,302.0,139.0,3570.0,12.8,78.0,1.0
259,19.2,6.0,231.0,105.0,3535.0,19.2,78.0,1.0
260,20.5,6.0,200.0,95.0,3155.0,18.2,78.0,1.0
261,20.2,6.0,200.0,85.0,2965.0,15.8,78.0,1.0
262,25.1,4.0,140.0,88.0,2720.0,15.4,78.0,1.0
263,20.5,6.0,225.0,100.0,3430.0,17.2,78.0,1.0
264,19.4,6.0,232.0,90.0,3210.0,17.2,78.0,1.0
265,20.6,6.0,231.0,105.0,3380.0,15.8,78.0,1.0
266,20.8,6.0,200.0,85.0,3070.0,16.7,78.0,1.0
267,18.6,6.0,225.0,110.0,3620.0,18.7,78.0,1.0
268,18.1,6.0,258.0,120.0,3410.0,15.1,78.0,1.0
269,19.2,8.0,305.0,145.0,3425.0,13.2,78.0,1.0
270,17.7,6.0,231.0,165.0,3445.0,13.4,78.0,1.0
271,18.1,8.0,302.0,139.0,3205.0,11.2,78.0,1.0
272,17.5,8.0,318.0,140.0,4080.0,13.7,78.0,1.0
273,30.0,4.0,98.0,68.0,2155.0,16.5,78.0,1.0
274,27.5,4.0,134.0,95.0,2560.0,14.2,78.0,3.0
275,27.2,4.0,119.0,97.0,2300.0,14.7,78.0,3.0
276,30.9,4.0,105.0,75.0,2230.0,14.5,78.0,1.0
277,21.1,4.0,134.0,95.0,2515.0,14.8,78.0,3.0
278,23.2,4.0,156.0,105.0,2745.0,16.7,78.0,1.0
279,23.8,4.0,151.0,85.0,2855.0,17.6,78.0,1.0
280,23.9,4.0,119.0,97.0,2405.0,14.9,78.0,3.0
281,20.3,5.0,131.0,103.0,2830.0,15.9,78.0,2.0
282,17.0,6.0,163.0,125.0,3140.0,13.6,78.0,2.0
283,21.6,4.0,121.0,115.0,2795.0,15.7,78.0,2.0
284,16.2,6.0,163.0,133.0,3410.0,15.8,78.0,2.0
285,31.5,4.0,89.0,71.0,1990.0,14.9,78.0,2.0
286,29.5,4.0,98.0,68.0,2135.0,16.6,78.0,3.0
287,21.5,6.0,231.0,115.0,3245.0,15.4,79.0,1.0
288,19.8,6.0,200.0,85.0,2990.0,18.2,79.0,1.0
289,22.3,4.0,140.0,88.0,2890.0,17.3,79.0,1.0
290,20.2,6.0,232.0,90.0,3265.0,18.2,79.0,1.0
291,20.6,6.0,225.0,110.0,3360.0,16.6,79.0,1.0
292,17.0,8.0,305.0,130.0,3840.0,15.4,79.0,1.0
293,17.6,8.0,302.0,129.0,3725.0,13.4,79.0,1.0
294,16.5,8.0,351.0,138.0,3955.0,13.2,79.0,1.0
295,18.2,8.0,318.0,135.0,3830.0,15.2,79.0,1.0
296,16.9,8.0,350.0,155.0,4360.0,14.9,79.0,1.0
297,15.5,8.0,351.0,142.0,4054.0,14.3,79.0,1.0
298,19.2,8.0,267.0,125.0,3605.0,15.0,79.0,1.0
299,18.5,8.0,360.0,150.0,3940.0,13.0,79.0,1.0
300,31.9,4.0,89.0,71.0,1925.0,14.0,79.0,2.0
301,34.1,4.0,86.0,65.0,1975.0,15.2,79.0,3.0
302,35.7,4.0,98.0,80.0,1915.0,14.4,79.0,1.0
303,27.4,4.0,121.0,80.0,2670.0,15.0,79.0,1.0
304,25.4,5.0,183.0,77.0,3530.0,20.1,79.0,2.0
305,23.0,8.0,350.0,125.0,3900.0,17.4,79.0,1.0
306,27.2,4.0,141.0,71.0,3190.0,24.8,79.0,2.0
307,23.9,8.0,260.0,90.0,3420.0,22.2,79.0,1.0
308,34.2,4.0,105.0,70.0,2200.0,13.2,79.0,1.0
309,34.5,4.0,105.0,70.0,2150.0,14.9,79.0,1.0
310,31.8,4.0,85.0,65.0,2020.0,19.2,79.0,3.0
311,37.3,4.0,91.0,69.0,2130.0,14.7,79.0,2.0
312,28.4,4.0,151.0,90.0,2670.0,16.0,79.0,1.0
313,28.8,6.0,173.0,115.0,2595.0,11.3,79.0,1.0
314,26.8,6.0,173.0,115.0,2700.0,12.9,79.0,1.0
315,33.5,4.0,151.0,90.0,2556.0,13.2,79.0,1.0
316,41.5,4.0,98.0,76.0,2144.0,14.7,80.0,2.0
317,38.1,4.0,89.0,60.0,1968.0,18.8,80.0,3.0
318,32.1,4.0,98.0,70.0,2120.0,15.5,80.0,1.0
319,37.2,4.0,86.0,65.0,2019.0,16.4,80.0,3.0
320,28.0,4.0,151.0,90.0,2678.0,16.5,80.0,1.0
321,26.4,4.0,140.0,88.0,2870.0,18.1,80.0,1.0
322,24.3,4.0,151.0,90.0,3003.0,20.1,80.0,1.0
323,19.1,6.0,225.0,90.0,3381.0,18.7,80.0,1.0
324,34.3,4.0,97.0,78.0,2188.0,15.8,80.0,2.0
325,29.8,4.0,134.0,90.0,2711.0,15.5,80.0,3.0
326,31.3,4.0,120.0,75.0,2542.0,17.5,80.0,3.0
327,37.0,4.0,119.0,92.0,2434.0,15.0,80.0,3.0
328,32.2,4.0,108.0,75.0,2265.0,15.2,80.0,3.0
329,46.6,4.0,86.0,65.0,2110.0,17.9,80.0,3.0
330,27.9,4.0,156.0,105.0,2800.0,14.4,80.0,1.0
331,40.8,4.0,85.0,65.0,2110.0,19.2,80.0,3.0
332,44.3,4.0,90.0,48.0,2085.0,21.7,80.0,2.0
333,43.4,4.0,90.0,48.0,2335.0,23.7,80.0,2.0
334,36.4,5.0,121.0,67.0,2950.0,19.9,80.0,2.0
335,30.0,4.0,146.0,67.0,3250.0,21.8,80.0,2.0
336,44.6,4.0,91.0,67.0,1850.0,13.8,80.0,3.0
338,33.8,4.0,97.0,67.0,2145.0,18.0,80.0,3.0
339,29.8,4.0,89.0,62.0,1845.0,15.3,80.0,2.0
340,32.7,6.0,168.0,132.0,2910.0,11.4,80.0,3.0
341,23.7,3.0,70.0,100.0,2420.0,12.5,80.0,3.0
342,35.0,4.0,122.0,88.0,2500.0,15.1,80.0,2.0
344,32.4,4.0,107.0,72.0,2290.0,17.0,80.0,3.0
345,27.2,4.0,135.0,84.0,2490.0,15.7,81.0,1.0
346,26.6,4.0,151.0,84.0,2635.0,16.4,81.0,1.0
347,25.8,4.0,156.0,92.0,2620.0,14.4,81.0,1.0
348,23.5,6.0,173.0,110.0,2725.0,12.6,81.0,1.0
349,30.0,4.0,135.0,84.0,2385.0,12.9,81.0,1.0
350,39.1,4.0,79.0,58.0,1755.0,16.9,81.0,3.0
351,39.0,4.0,86.0,64.0,1875.0,16.4,81.0,1.0
352,35.1,4.0,81.0,60.0,1760.0,16.1,81.0,3.0
353,32.3,4.0,97.0,67.0,2065.0,17.8,81.0,3.0
354,37.0,4.0,85.0,65.0,1975.0,19.4,81.0,3.0
355,37.7,4.0,89.0,62.0,2050.0,17.3,81.0,3.0
356,34.1,4.0,91.0,68.0,1985.0,16.0,81.0,3.0
357,34.7,4.0,105.0,63.0,2215.0,14.9,81.0,1.0
358,34.4,4.0,98.0,65.0,2045.0,16.2,81.0,1.0
359,29.9,4.0,98.0,65.0,2380.0,20.7,81.0,1.0
360,33.0,4.0,105.0,74.0,2190.0,14.2,81.0,2.0
362,33.7,4.0,107.0,75.0,2210.0,14.4,81.0,3.0
363,32.4,4.0,108.0,75.0,2350.0,16.8,81.0,3.0
364,32.9,4.0,119.0,100.0,2615.0,14.8,81.0,3.0
365,31.6,4.0,120.0,74.0,2635.0,18.3,81.0,3.0
366,28.1,4.0,141.0,80.0,3230.0,20.4,81.0,2.0
368,30.7,6.0,145.0,76.0,3160.0,19.6,81.0,2.0
369,25.4,6.0,168.0,116.0,2900.0,12.6,81.0,3.0
370,24.2,6.0,146.0,120.0,2930.0,13.8,81.0,3.0
371,22.4,6.0,231.0,110.0,3415.0,15.8,81.0,1.0
372,26.6,8.0,350.0,105.0,3725.0,19.0,81.0,1.0
373,20.2,6.0,200.0,88.0,3060.0,17.1,81.0,1.0
374,17.6,6.0,225.0,85.0,3465.0,16.6,81.0,1.0
375,28.0,4.0,112.0,88.0,2605.0,19.6,82.0,1.0
376,27.0,4.0,112.0,88.0,2640.0,18.6,82.0,1.0
377,34.0,4.0,112.0,88.0,2395.0,18.0,82.0,1.0
378,31.0,4.0,112.0,85.0,2575.0,16.2,82.0,1.0
379,29.0,4.0,135.0,84.0,2525.0,16.0,82.0,1.0
380,27.0,4.0,151.0,90.0,2735.0,18.0,82.0,1.0
381,24.0,4.0,140.0,92.0,2865.0,16.4,82.0,1.0
383,36.0,4.0,105.0,74.0,1980.0,15.3,82.0,2.0
384,37.0,4.0,91.0,68.0,2025.0,18.2,82.0,3.0
385,31.0,4.0,91.0,68.0,1970.0,17.6,82.0,3.0
386,38.0,4.0,105.0,63.0,2125.0,14.7,82.0,1.0
387,36.0,4.0,98.0,70.0,2125.0,17.3,82.0,1.0
388,36.0,4.0,120.0,88.0,2160.0,14.5,82.0,3.0
389,36.0,4.0,107.0,75.0,2205.0,14.5,82.0,3.0
390,34.0,4.0,108.0,70.0,2245.0,16.9,82.0,3.0
391,38.0,4.0,91.0,67.0,1965.0,15.0,82.0,3.0
392,32.0,4.0,91.0,67.0,1965.0,15.7,82.0,3.0
393,38.0,4.0,91.0,67.0,1995.0,16.2,82.0,3.0
394,25.0,6.0,181.0,110.0,2945.0,16.4,82.0,1.0
395,38.0,6.0,262.0,85.0,3015.0,17.0,82.0,1.0
396,26.0,4.0,156.0,92.0,2585.0,14.5,82.0,1.0
397,22.0,6.0,232.0,112.0,2835.0,14.7,82.0,1.0
398,32.0,4.0,144.0,96.0,2665.0,13.9,82.0,3.0
399,36.0,4.0,135.0,84.0,2370.0,13.0,82.0,1.0
400,27.0,4.0,151.0,90.0,2950.0,17.3,82.0,1.0
401,27.0,4.0,140.0,86.0,2790.0,15.6,82.0,1.0
402,44.0,4.0,97.0,52.0,2130.0,24.6,82.0,2.0
403,32.0,4.0,135.0,84.0,2295.0,11.6,82.0,1.0
404,28.0,4.0,120.0,79.0,2625.0,18.6,82.0,1.0
405,31.0,4.0,119.0,82.0,2720.0,19.4,82.0,1.0
